state,category,status,requirement_text,action_text,responsible_role,deadline_text,effective_from,effective_to,verified_at,agency,source_title,official_url
CO,registration,,,,,,,,,,,
CO,withholding,,,,,,,,,,,
CO,ui,,,,,,,,,,,
CO,workers_comp,,,,,,,,,,,
CO,insurance_benefits,,,,,,,,,,,
CO,wage_hour,,,,,,,,,,,
CO,paid_leave,,,,,,,,,,,
CO,notices,,,,,,,,,,,
CO,pay_transparency,,,,,,,,,,,
CA,registration,,,,,,,,,,,
CA,withholding,,,,,,,,,,,
CA,ui,,,,,,,,,,,
CA,workers_comp,,,,,,,,,,,
CA,insurance_benefits,,,,,,,,,,,
CA,wage_hour,,,,,,,,,,,
CA,paid_leave,,,,,,,,,,,
CA,notices,,,,,,,,,,,
CA,pay_transparency,,,,,,,,,,,
TX,registration,,,,,,,,,,,
TX,withholding,,,,,,,,,,,
TX,ui,,,,,,,,,,,
TX,workers_comp,,,,,,,,,,,
TX,insurance_benefits,,,,,,,,,,,
TX,wage_hour,,,,,,,,,,,
TX,paid_leave,,,,,,,,,,,
TX,notices,,,,,,,,,,,
TX,pay_transparency,,,,,,,,,,,
NY,registration,,,,,,,,,,,
NY,withholding,,,,,,,,,,,
NY,ui,,,,,,,,,,,
NY,workers_comp,,,,,,,,,,,
NY,insurance_benefits,,,,,,,,,,,
NY,wage_hour,,,,,,,,,,,
NY,paid_leave,,,,,,,,,,,
NY,notices,,,,,,,,,,,
NY,pay_transparency,,,,,,,,,,,
WA,registration,,,,,,,,,,,
WA,withholding,,,,,,,,,,,
WA,ui,,,,,,,,,,,
WA,workers_comp,,,,,,,,,,,
WA,insurance_benefits,,,,,,,,,,,
WA,wage_hour,,,,,,,,,,,
WA,paid_leave,,,,,,,,,,,
WA,notices,,,,,,,,,,,
WA,pay_transparency,,,,,,,,,,,
IL,registration,,,,,,,,,,,
IL,withholding,,,,,,,,,,,
IL,ui,,,,,,,,,,,
IL,workers_comp,,,,,,,,,,,
IL,insurance_benefits,,,,,,,,,,,
IL,wage_hour,,,,,,,,,,,
IL,paid_leave,,,,,,,,,,,
IL,notices,,,,,,,,,,,
IL,pay_transparency,,,,,,,,,,,
