state,category,agency,source_title,official_url
CO,registration,,CO — State employer registration,
CO,withholding,,CO — Payroll & withholding,
CO,ui,,CO — Unemployment insurance,
CO,workers_comp,,CO — Workers' compensation,
CO,insurance_benefits,,CO — Insurance & benefits,
CO,wage_hour,,CO — Wage & minimum-wage rules,
CO,paid_leave,,CO — Paid leave,
CO,notices,,CO — Required notices,
CO,pay_transparency,,CO — Pay transparency,
CA,registration,,CA — State employer registration,
CA,withholding,,CA — Payroll & withholding,
CA,ui,,CA — Unemployment insurance,
CA,workers_comp,,CA — Workers' compensation,
CA,insurance_benefits,,CA — Insurance & benefits,
CA,wage_hour,,CA — Wage & minimum-wage rules,
CA,paid_leave,,CA — Paid leave,
CA,notices,,CA — Required notices,
CA,pay_transparency,,CA — Pay transparency,
TX,registration,,TX — State employer registration,
TX,withholding,,TX — Payroll & withholding,
TX,ui,,TX — Unemployment insurance,
TX,workers_comp,,TX — Workers' compensation,
TX,insurance_benefits,,TX — Insurance & benefits,
TX,wage_hour,,TX — Wage & minimum-wage rules,
TX,paid_leave,,TX — Paid leave,
TX,notices,,TX — Required notices,
TX,pay_transparency,,TX — Pay transparency,
NY,registration,,NY — State employer registration,
NY,withholding,,NY — Payroll & withholding,
NY,ui,,NY — Unemployment insurance,
NY,workers_comp,,NY — Workers' compensation,
NY,insurance_benefits,,NY — Insurance & benefits,
NY,wage_hour,,NY — Wage & minimum-wage rules,
NY,paid_leave,,NY — Paid leave,
NY,notices,,NY — Required notices,
NY,pay_transparency,,NY — Pay transparency,
WA,registration,,WA — State employer registration,
WA,withholding,,WA — Payroll & withholding,
WA,ui,,WA — Unemployment insurance,
WA,workers_comp,,WA — Workers' compensation,
WA,insurance_benefits,,WA — Insurance & benefits,
WA,wage_hour,,WA — Wage & minimum-wage rules,
WA,paid_leave,,WA — Paid leave,
WA,notices,,WA — Required notices,
WA,pay_transparency,,WA — Pay transparency,
IL,registration,,IL — State employer registration,
IL,withholding,,IL — Payroll & withholding,
IL,ui,,IL — Unemployment insurance,
IL,workers_comp,,IL — Workers' compensation,
IL,insurance_benefits,,IL — Insurance & benefits,
IL,wage_hour,,IL — Wage & minimum-wage rules,
IL,paid_leave,,IL — Paid leave,
IL,notices,,IL — Required notices,
IL,pay_transparency,,IL — Pay transparency,
